"DATA","CASA","PROMOÇÃO/OBJETIVO","UTMs / PIDs","LUCRO/PREJUIZO","ROAS","ENTREGUES","LIDAS","CUSTO","CONV","CONV ftd","C.REG","C.FTD","REGISTROS","FTD","CPAS","CPA ","REG > FTD","FTD > CPA"
"11/07","SuperBet","[10/07] DISP TOTAL 11/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ 1.872,47","15,68","981,00","634,00","R$ 127,53","1,63%","0,61%","R$ 7,97","R$ 21,26","16,00","6,00","4,00","R$ 2.000,00","37,50%","66,67%"
"11/07","SuperBet","	[10/07] DISP TOTAL 11/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 408,22","5,45","706,00","402,00","R$ 91,78","1,56%","0,71%","R$ 8,34","R$ 18,36","11,00","5,00","1,00","R$ 500,00","45,45%","20,00%"
"11/07","SuperBet","[10/07] DISP TOTAL 11/07 BASE BETE D1","pilhado-disp-traf-bete-d1","R$ -18,59","0,00","143,00","79,00","R$ 18,59","1,40%","0,00%","R$ 9,30","R$ 0,00","2,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"11/07","MGMBET","	[10/07] DISP TOTAL 11/07 BASE SB D3","13398","R$ 657,54","6,37","942,00","587,00","R$ 122,46","1,49%","1,17%","R$ 8,75","R$ 11,13","14,00","11,00","3,00","R$ 780,00","78,57%","27,27%"
"11/07","MGMBET","[10/07] DISP TOTAL 11/07 BASE MGM D3","13538","R$ 140,40","2,17","920,00","502,00","R$ 119,60","0,22%","0,22%","R$ 59,80","R$ 59,80","2,00","2,00","1,00","R$ 260,00","100,00%","50,00%"
"11/07","MGMBET","	[10/07] DISP TOTAL 11/07 BASE BETE D3","13540","R$ 84,63","1,48","1.349,00","673,00","R$ 175,37","1,63%","0,74%","R$ 7,97","R$ 17,54","22,00","10,00","1,00","R$ 260,00","45,45%","10,00%"
"11/07","MGMBET","	[10/07] DISP TOTAL 11/07 BASE VAIDEBET D3","13547","R$ -48,88","0,00","376,00","150,00","R$ 48,88","0,00%","0,00%","R$ 0,00","R$ 0,00","0,00","0,00","0,00","R$ 0,00","0,00%","0,00%"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE MGM D1","pilhado-disp-traf-mgm-d1","R$ 881,44","8,43","912,00","456,00","R$ 118,56","0,33%","0,11%","R$ 39,52","R$ 118,56","3,00","1,00","2,00","R$ 1.000,00","33,33%","200,00%"
"12/07","SuperBet","[11/07] DISP TOTAL 12/07 BASE SB D1","pilhado-disp-traf-sb-d1","R$ 854,40","6,87","1.120,00","679,00","R$ 145,60","1,34%","0,54%","R$ 9,71","R$ 24,27","15,00","6,00","2,00","R$ 1.000,00","40,00%","33,33%"
"12/07","MGMBET","[11/07] DISP TOTAL 12/07 BASE MGM D3","13538","R$ -163,02","0,00","1.254,00","609,00","R$ 163,02","0,32%","0,16%","R$ 40,76","R$ 81,51","4,00","2,00","0,00","R$ 0,00","50,00%","0,00%"
