DATA,CASA,UTM/PID,PROMOÇÃO/OBJETIVO,LUCRO/PREJUIZO,ROAS,ENTREGUES,LIDAS,CLIQUES,TX LIDAS,TX CLIQUES,CUSTO,CONV,CONV ftd,C.REG,C.FTD,REGISTROS,FTD,CPAS,CPA 
18/06,SuperBet,pilhado-disp-traf-sb-d5,ODD 1750 - D5 17/06 BASE SUPER,"R$ 792,52","4,82","1.596,00","897,00",,"56,20%","0,00%","R$ 207,48","0,25%","0,13%","R$ 51,87","R$ 103,74","4,00","2,00","2,00",
18/06,SuperBet,pilhado-disp-traf-mgm-d7,ODD 100 - D7 17/06 BASE MGM,"-R$ 88,14","0,00","678,00","310,00",,"45,72%","0,00%","R$ 88,14","0,15%","0,15%","R$ 88,14","R$ 88,14","1,00","1,00","0,00",
18/06,SuperBet,pilhado-disp-traf-esp-d7,ODD 100 - D7 17/06 BASE ESP,"-R$ 106,47","0,00","819,00","381,00",,"46,52%","0,00%","R$ 106,47","0,24%","0,12%","R$ 53,24","R$ 106,47","2,00","1,00","0,00",
18/06,SuperBet,pilhado-disp-traf-bete-d7,ODD 100 - D7 17/06 BASE BETE,"-R$ 341,51","0,00","2.627,00","1.170,00",,"44,54%","0,00%","R$ 341,51","0,04%","0,04%","R$ 341,51","R$ 341,51","2,00","2,00","2,00",
19/06,SuperBet,pilhado-disp-total-sb,DISP TOTAL SB,"R$ 120.990,08","7,54","142.384,00","81.672,00",15393,"57,36%","10,81%","R$ 18.509,92","0,60%","0,29%","R$ 21,83","R$ 44,93","801,00","352,00","186,00",
19/06,SuperBet,pilhado-disp-traf-king-d1,[18/06] D1 19/06 - BASE KING SB,"R$ 7.761,90","5,47","13.370,00","7.991,00",11185,"59,77%","83,66%","R$ 1.738,10","0,79%","0,25%","R$ 16,40","R$ 51,12","106,00","34,00","19,00",
19/06,SuperBet,pilhado-disp-traf-sb-d1,[18/06] D1 19/06 BASE SB,"R$ 1.916,15","23,85","645,00","430,00",,"66,67%","0,00%","R$ 83,85","2,95%","1,09%","R$ 4,41","R$ 11,98","19,00","8,00","5,00",
19/06,SuperBet,pilhado-disp-traf-esp-d3,[18/06] D3 19/06 BASE ESP,"-R$ 73,97","0,00","569,00","352,00",,"61,86%","0,00%","R$ 73,97","1,05%","0,70%","R$ 12,33","R$ 18,49","6,00","7,00","3,00",
19/06,SuperBet,pilhado-disp-traf-bete-d3,[18/06] D3 19/06 BASE BETE,"R$ 887,94","8,92","862,00","530,00",,"61,48%","0,00%","R$ 112,06","0,93%","0,35%","R$ 14,01","R$ 37,35","8,00","4,00","3,00",
19/06,SuperBet,pilhado-disp-traf-mgm-d3,[18/06] D3 19/06 BASE MGM,"R$ 6.173,70","19,92","2.510,00","1.523,00",,"60,68%","0,00%","R$ 326,30","1,39%","0,72%","R$ 9,32","R$ 18,13","35,00","19,00","14,00",
19/06,SuperBet,pilhado-disp-traf-sb-d5,[18/06] D5 19/06 BASE SB,"-R$ 82,94","0,00","638,00","398,00",,"62,38%","0,00%","R$ 82,94","0,94%","0,16%","R$ 13,82","R$ 82,94","6,00","2,00","1,00",
19/06,SuperBet,pilhado-disp-traf-mgm-d7,[18/06] D7 19/06 BASE MGM,"R$ 208,39","5,04","397,00","212,00",,"53,40%","0,00%","R$ 51,61","0,50%","0,25%","R$ 25,81","R$ 51,61","2,00","1,00","1,00",
20/06,SuperBet,pilhado-disp-traf-bs-sb-d1,[19/06] D1 20/06 BASE SB,"R$ 6.363,24","47,53","1.052,00","689,00",,"65,49%","0,00%","R$ 136,76","5,13%","2,09%","R$ 2,53","R$ 6,22","0,00","0,00","0,00",
20/06,SuperBet,pilhado-disp-traf-mgm-d1,[19/06] D1 20/06 BASE MGM,"-R$ 176,02","0,00","1.354,00","907,00",365,"66,99%","26,96%","R$ 176,02","0,00%","0,00%",,,"0,00","0,00","0,00",
20/06,SuperBet,pilhado-disp-traf-esp-d1,[19/06] D1 20/06 BASE ESP,"-R$ 618,80","0,00","4.760,00","3.254,00",1031,"68,36%","21,66%","R$ 618,80","0,00%","0,00%",,,"0,00","0,00","0,00",
20/06,SuperBet,pilhado-disp-traf-king-d1,[19/06] D1 20/06 BASE KING,"R$ 34.638,76","8,94","33.548,00","19.722,00",,"58,79%","0,00%","R$ 4.361,24","0,88%","0,35%","R$ 14,83","R$ 36,96","294,00","118,00","78,00",
20/06,SuperBet,pilhado-disp-traf-mgm-d3,[19/06] D3 20/06 BASE MGM,"R$ 5.070,22","12,80","3.306,00","1.914,00",,"57,89%","0,00%","R$ 429,78","1,15%","0,57%","R$ 11,31","R$ 22,62","38,00","19,00","11,00",
20/06,SuperBet,pilhado-disp-traf-sb-d5,[19/06] D5 20/06 BASE SB,"-R$ 48,23","0,00","371,00","225,00",,"60,65%","0,00%","R$ 48,23","0,54%","0,00%","R$ 24,12",,"2,00","0,00","0,00",
20/06,SuperBet,pilhado-disp-traf-mgm-d7,[19/06] D7 20/06 BASE MGM,"R$ 202,17","1,68","2.291,00","1.334,00",,"58,23%","0,00%","R$ 297,83","0,09%","0,04%","R$ 148,92","R$ 297,83","2,00","1,00","1,00",
